IndexCustom,Article,Event,Bias,FineGrain_Techniques,FineGrain_Spans,Narrative
401F,"Necessary instructions have already been given to the Department of Cooperation and other departments. As a result the departments are responding to the plight of farmers, he said. The Karnataka government will introduce a law to stop the confiscation or auction of farmers' property over any delay or non-payment of loan taken for agricultural purposes, Chief Minister Basavaraj Bommai said on Saturday. Speaking at the concluding session of Krishi Mela and distribution of awards to farmers at the Gandhi Krishi Vignan Kendra (GKVK) campus here, he said in case of non-payment of agricultural loan, farmers must be given more time for repayment instead of confiscating or auctioning their property. Necessary instructions have already been given to the Department of Cooperation and other departments. As a result the departments are responding to the plight of farmers, he said. Noting that economic growth is fully dependent on the agricultural sector, Bommai said agricultural universities must take up research regarding agro-economics and give suggestions to the government. These universities must work in tandem with the government and inform it regarding new research and methodology, the chief minister said. Both Bengaluru and Dharwad Universities of Agricultural Sciences have been functioning for 58 years and helping farmers. One thousand acres of land has been reserved each in Dharwad and Bengaluru universities for natural farming, he said. ""The varsities have been asked to increase agriculture output with less capital investment and to grow crops without using chemical fertiliser,"" Bommai said. The ""Yashasvini"" health insurance scheme has been re-launched since November 1, the chief minister told the gathering. Bommai said the state government will launch more farmer-friendly programmes which included giving loan to 10 lakh additional farmers from the current academic year. He appealed to farmers to think scientifically, try new varieties to increase productivity and take up comprehensive agriculture.",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
260F,"Neelam was arrested by the Delhi Police following her protest outside Parliament during a recent security breach. Jind:Farmers from various regions are set to hold a mahapanchayat in Jind for a significant Kisan Mahapanchayat at 11 am, in a demand for the release of Neelam Azad. The gathering seeks justice for Neelam, who was arrested by the Delhi Police following her protest outside Parliament during a recent security breach. Neelam Azad's family has left for Delhi. The Haryana Khaps have come out in support of Azad. Several Khaps reached outside her home, offering Azad and her family support. They said she did nothing wrong and Neelam’s name is now in history. ""Whatever Neelam did is right,"" he continued, pleading for her release. If it is not released, a Panchayat meeting is scheduled for Thursday, December 14. ""We stand with Neelam and with the entire family. Our daughter's name is inked in the history,"" said Azad Palwa, Khap leader. Meanwhile, Kheda Khap leader Ram Mehar said, ""Neelam is an educated and wise girl, she raised her voice against the black laws for farmers."" He added, “She used to come with us at the farmer's protest, and also stood firm during the wrestler's protest at Jantar Mantar.”",Farmers Protest,left,"Name Calling and Labeling,Thought-terminating Cliches","T8: ['black laws']
T13: ['""Whatever Neelam did is right,""']","Vilification of the central government, Depicting Farmers as Victims"
22F,"New Delhi:Farmer leader Sarwan Singh Pandher on Wednesday appealed to Prime Minister Narendra Modi to not ""oppress"" the farmers protesting against the government over the MSP demand. Pointing out that farmers made Modi the Prime Minister of India, he warned that the country will not forgive the BJP-led Centre. ""We have told the government that you can kill us but please don't oppress the farmers. We request thePrime Ministerto come forward and put an end to this protest by announcing a law on the MSP guarantee for the farmers,"" he said. Pandher, who is coordinating the massive protest, claimed paramilitary personnel have been deployed in villages in Haryana to halt their march. ""The country will not forgive such a government...There are paramilitary forces deployed in the villages of Haryana...What crime have we committed?...We have made you the Prime Minister. We never thought that the forces would oppress us this way...Please protect the Constitution and let us peacefully head towards Delhi. This is our right,"" he said. He promised that the protest will remain peaceful. ""We tried our best from our side. We attended the meetings, every point was discussed and now the decision has to be taken by the central government. We will remain peaceful…The Prime Minister should come forward and accept our demands.₹1.5-2 lakh crore is not a huge amount...We should be allowed to remove these barriers and march towards Delhi...'' Also read: Farmers' protest: Delhi braces for 1200 tractors, bulldozers, traffic chaos Yesterday, Sandhu announced that the farmers would resume their ‘Delhi Chalo’ protest from the Punjab-Haryana Shambhu border. He made the remark hours after the farmers rejected the Centre's proposal of procuring pulses, maize and cotton at MSP by government agencies for five years. The Central government has estimated that more than 1200 tractors and 14000 farmers are present at the Shambhu border. The farmers, who faced teargas shells lobbed by the police last week in Haryana, have come fully geared up to breach the barricades. They have brought bulldozers, JCB machines and heavy machinery to break through the police cordon. They have fashioned the bulldozers in such a way that those operating the machines don't get hit by pellet guns used by the police to quell the agitation. The farmers have also brought along gas masks to negotiate with teargas attacks. Also read: Farmers' protest resumes today: Check traffic restrictions at Delhi borders, Gurugram, Noida The police have also come fully prepared. Apart from loaded trucks, buses, barricades, iron barbed wires and nails, they are also using loaded shipping containers to stop their advance. The police have also extensively used concrete to bolster the barricades. Around 8,000 personnel have also been stationed at the Tikri, Singhu and Ghazipur borders in Delhi. The Punjab and Haryana high court on Tuesday slammed protesting farmers camping at Shambhu border with hundreds of tractors and said tractor trolleys can’t be used on highways. “According to the Motor Vehicle Act, you can’t use tractor-trolleys on the highway. You are travelling from Amritsar to Delhi on trolleys,” the bench remarked, underlining that “everyone knows about rights but there are constitutional duties” as well. The Haryana Police urged its Punjab counterparts on Tuesday to seize bulldozers as they could pose a safety risk. With inputs from PTI, ANI  Follow the latest breaking news and developments from India and around the world with Hindustan Times' newsdesk. From politics and policies to the economy and the environment, from local issues to national events and global affairs, we've got you covered....view detail",Farmers Protest,left,"Appeal to emotion/fear/prejudice,Bandwagon,Doubt,Loaded Language,Slogans,Smears","T7: ['oppress']
T7: ['The country will not forgive such a government']
T9: ['We have told the government that you can kill us but please don't oppress the farmers']
T10: ['Delhi Chalo']
T14: ['more than 1200 tractors and 14000 farmers are present at the Shambhu border']
T15: ['appealed to Prime Minister Narendra Modi to not ""oppress"" the farmers protesting against the government over the MSP demand']
T17: ['There are paramilitary forces deployed in the villages of Haryana...What crime have we committed?']","Vilification of the central government, Depicting Farmers as Victims"
319F,"New Zealand's government on Tuesday proposed taxing the greenhouse gasses that farm animals make from burping and peeing as part of a plan to tackle climate change. New Zealand's government on Tuesday proposed taxing the greenhouse gasses that farm animals make from burping and peeing as part of a plan to tackle climate change. The government said the farm levy would be a world first, and that farmers should be able to recoup the cost by charging more for climate-friendly products. But farmers quickly condemned the plan. Federated Farmers, the industry's main lobby group, said the plan would “rip the guts out of small town New Zealand” and see farms replaced with trees. Federated Farmers President Andrew Hoggard said farmers had been trying to work with the government for more than two years on an emissions reduction plan that wouldn't decrease food production. “Our plan was to keep farmers farming,"" Hoggard said. Instead, he said farmers would be raising prices “so fast you won’t even hear the dogs barking on the back of the ute (pickup truck) as they drive off.” Opposition lawmakers from the conservative ACT Party said the plan would actually increase worldwide emissions by moving farming to other countries that were less efficient at making food. New Zealand’s farming industry is vital to its economy. Dairy products, including those used to make infant formula in China, are the nation’s largest export earner. There are just 5 million people in New Zealand but some 10 million beef and dairy cattle and 26 million sheep. The outsized industry has made New Zealand unusual in that about half of its greenhouse gas emissions come from farms. Farm animals produce gasses that warm the planet, particularly methane from cattle burping and nitrous oxide from their urine. The government has pledged to reduce greenhouse gas emissions and make the country carbon neutral by 2050. Part of that plan includes a pledge that it will reduce methane emissions from farm animals by 10% by 2030 and by up to 47% by 2050. Under the government's proposed plan, farmers would start to pay for emissions in 2025, with the pricing yet to be finalized. Prime Minister Jacinda Ardern said all the money collected from the proposed farm levy would be put back into the industry to fund new technology, research and incentive payments for farmers. “New Zealand's farmers are set to be the first in the world to reduce agricultural emissions, positioning our biggest export market for the competitive advantage that brings in a world increasingly discerning about the provenance of their food,"" Ardern said. Agriculture Minister Damien O'Connor said it was an exciting opportunity for New Zealand and its farmers. “Farmers are already experiencing the impact of climate change with more regular drought and flooding,” O'Connor said. “Taking the lead on agricultural emissions is both good for the environment and our economy.” The liberal Labour government's proposal harks back to a similar but unsuccessful proposal made by a previous Labour government in 2003 to tax farm animals for their methane emissions. Farmers back then also vehemently opposed the idea, and political opponents ridiculed it as a “fart tax” — although a “burp tax” would have been more technically accurate as most of the methane emissions come from belching. The government eventually abandoned the plan. According to opinion polls, Ardern’s Labour Party has slipped in popularity and fallen behind the main opposition National Party since Ardern won a second term in 2020 in a landslide victory of historic proportions. If Ardern's government can't find agreement on the proposal with farmers, who have considerable political sway in New Zealand, it's likely to make it more difficult for Ardern to win reelection next year when the nation goes back to the polls.",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
352F,"Northeast farmers up in arms against decision to allow US pork imports By Romit Bhattacharyya Kolkata, Jan 14 (PTI) Pig farmers across the northeast are up in arms over the Union government’s decision to allow import of US pork, contending it could destroy livelihoods of “lakhs” of people and deal a body blow to a success story from the region. Pig farmers in the northeast, which consumes about 70 per cent of the country’s pork production fear an uneven playing field and disruption to businesses once cheaper factory-scale US pork products are shipped into the country. United States Trade Representative Katherine Tai and Secretary of Agriculture Tom Vilsack had recently announced that India is set to import pork and pork products for the first time, “removing a long-standing barrier to US agricultural trade”. “We will oppose this move tooth and nail, as it will hamper the livelihood of lakhs and sound the death knell for a growing sector,” the North East Progressive Pig Farmers' Association (NEPPFA), which has over 1,000 members in its fold, said. NEPPFA president Monoj Kumar Basumatary said the region accounts for almost 40 per cent of the country’s pig population, and produces nearly 1.3 lakh metric tonnes of pork annually. “It has to be kept in mind that the genetics and rearing process of US pigs are completely different. Allowing import of its pork products will not present a level playing field for us. “The central government should have, instead, focused on improving breeding and the quality of feed for pigs, and boosting credit availability for farmers back home,” Basumatary told PTI. The Assam-based pig farmer said the decision will lead to more losses for small and commercial farmers, who have been smarting under the detrimental impact of Covid lockdowns and the outbreak of the African Swine Fever. Assam rears 2.1 million pigs out of India’s 9.06 million, according to the 2019 livestock census. Other northeast states with sizable pig populations include Meghalaya and Nagaland. India also exports processed poultry products to a number of South East Asian detitanations. The pork deal is part of the revived US-India Trade Policy Forum held in New Delhi in November last year, where the two countries agreed to expand trade of some agricultural products, including US cherries, alfalfa as well as Indian mangoes, grapes, shrimp and water buffalo meat. The US was the world's third-largest pork producer and second-largest exporter in 2020, with global sales of pork and pork products valued at $ 7.7 billion. In the 2021 fiscal, it exported over $ 1.6-billion of agricultural products to India. PTI RBT JRC JRC",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
298F,"Observing that farmers in the Marathwada region of Maharashtra have suffered heavy losses due to excess rains, Deputy Chief Minister Ajit Pawar on Saturday said the state government will avail loan to help cultivators in affected areas in the state if needed. Observing that farmers in the Marathwada region of Maharashtra have suffered heavy losses due to excess rains, Deputy Chief Minister Ajit Pawar on Saturday said the state government will avail loan to help cultivators in affected areas in the state if needed. Speaking to reporters, Pawar said the crop and other losses may go up to Rs 4,000 crore in the Marathwada region alone. The Maharashtra government had last week paid the instalment of Rs 974 crore as its contribution towards crop insurance and the Centre has to pay its share now, he said. Pawar chaired a review meeting over the losses in the Marathwada region due to excess rainfall last month. He said the state paid its share of crop insurance except in some areas because insurance companies have not helped farmers in those areas. ""Rain is still going on in some blocks in the Marathwada region. Once we get the figure of losses, we will not wait for aid from the Central government and help farmers. We shall do it even if we will have to opt for loans for farmers of Marathwada and other parts of Maharashtra,"" he said. The state government has ordered insurance companies to pay for the losses suffered by farmers immediately, he said. ""The state has given Rs 550 crore for non-agriculture losses. This fund will be given as an aid for the damage caused to houses, loss of cattle and life,"" he said, adding that water-logging is a major barrier for teams trying to repair the electricity infrastructure in rural areas. ""The Maharashtra government has decided to distribute the aid as per the norms of the NDRF. Chief Minister Uddhav Thackeray will be updated about today's review meeting. Demand is raised to disburse more funds to district planning committees. A decision will be taken,"" the Deputy CM said. Pawar said a meeting will be held between the Maharashtra irrigation minister and his counterpart from Telangana to discuss the issue of water-logging in Nanded due to backwaters of the Pochampad dam in the southern state. ""The Maharashtra government has decided to give interest-free loans to those farmers who will repay it in time this time. This timely repayment is not possible now as farmers have lost their crops. The government is planning to restructure the pending debt of farmers and make them eligible to avail of the new loan. A decision on declaring wet drought in the Marathwada will be taken after holding discussions,"" Pawar added.",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
356F,"Odisha CM announces Rs 33cr aid to Puri district farmers under KALIA scheme Bhubaneswar, Nov 3 (PTI) Odisha Chief Minister Naveen Patnaik Wednesday announced that Rs 33.03 crore financial aid will be provided to farmers in Puri district under the state government’s flagship Krushak Assistance for Livelihood and Income Augmentation (KALIA) scheme. This programme will benefit 1,65,131 small and marginal farmers in the district and each grower will get Rs 2,000 for the 2021-22 Rabi crop under the scheme, a statement released by the Chief Minister’s Office said. The money will be directly deposited in the bank accounts of the cultivators. According to the provisions of the welfare programme, farmers, mostly small and marginal cultivators, are entitled to get Rs 10,000 in two instalments for two crops in a year. Under the scheme, landless agricultural farmers are also eligible to get Rs 12,000 per annum for three years. On September 11, the chief minister had sanctioned Rs 742.58 crore for 37,12,941 farmers under the KALIA scheme. However, farmers of Puri district could not avail of the benefit due to the imposition of the model code of conduct for the Pipili by-poll. Keeping in view the prevailing pandemic situation, Patnaik in June this year, had announced Rs 1,690 crore COVID-19 assistance package for landless farmers, construction workers, MGNREGS workers, particularly vulnerable tribal groups, SC/ST students and physically handicapped students. A total of 17.89 lakh landless farmers had received special assistance of Rs 1,000 under the package. An amount of Rs 207 crore was also given to landless farmers, who had not received their third instalment under the KALIA scheme. PTI AAM MM MM",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
452F,"Odisha Chief Minister Naveen Patnaik on Monday announced a special package of Rs 507 crore for farmers affected by cyclone Jawad, which had triggered heavy rainfall in the coastal districts during the first week of December. Odisha Chief Minister Naveen Patnaik on Monday announced a special package of Rs 507 crore for farmers affected by cyclone Jawad, which had triggered heavy rainfall in the coastal districts during the first week of December. According to the provisions of the package, small and marginal farmers who lost 33 per cent of their crops will be given Rs 6,800 per hectare of rain-fed land, Rs 13,500 per hectare for irrigated areas. The government will dole out Rs 18,000 per damaged hectare of land where all-season crops, such as mango, cashew, coconut, are cultivated. A minimum input subsidy of Rs 2,000 will be given to farmers against loss of daily crop and Rs 1,000 for other crops, a statement issued by the Chief Minister's Office said. Certified high quality seeds of 12,000 quintals will be provided to farmers of 12 cyclone-hit districts at a subsidised price. Also, 50,000 mini kits of pulses and four lakh vegetable kits for consumption will be distributed free of cost, the statement said. One lakh farmers will be provided with 10 fruit saplings each for planting in the backyard of their houses. In the affected districts, they will be given a subsidy for agricultural mechanization and 50 per cent discount on pump sets, not exceeding Rs 10,000. The package also includes provisions for farmers affected by pests. Short-term loans in areas with 33 per cent or more crop losses will be converted into medium-term loans. In order to ensure that farmers registered under the Prime Minister's Fasal Bima Yojana get their compensation as soon as possible, steps will be taken to immediately assess post-harvest losses. Measures will also be taken to ensure that farmers affected by the cyclone receive immediate loan assistance for Rabi crop, the release added.z",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
424F,"Odisha Chief Minister Naveen Patnaik on Monday disbursed interest subvention of Rs 441.76 crore on farm loans benefitting 35 lakh farmers in the state. Odisha Chief Minister Naveen Patnaik on Monday disbursed interest subvention of Rs 441.76 crore on farm loans benefitting 35 lakh farmers in the state. Patnaik disbursed the amount at a function here at Lok Seva Bhawan. Stating that nearly 60 per cent of credit is being given to farmers through coopeartive bodies, Patnaik said the second phase amount was given against the loans given by all cooperative banks and 2,409 primary agricultural cooperative societies. This was the second phase of farm loan subvention for 2022-2023. In the first phase, an interest subvention of Rs 415.17 crore had been given. With this, farmers in the state have so far received a total interest rebate of Rs 856.99 crore, he claimed. The chief minister said that farmers in Odisha do not have to pay any interest for crop loans up to Rs 1 lakh. Out of 35 lakh farmers, 30 lakh are small and marginal farmers, an official release issued by the CMO said. Noting that agriculture is the soul of Odisha’s economy as well as the basis of development, Patnaik said: ""The pilots of our new Odisha, strong Odisha are our farmers, mothers, and young women. So I have always emphasised your empowerment."" He said a special budget has been made to empower the farmers in the state. Patnaik said interest-free agricultural loans up to Rs 1 lakh are being given, while Kalia education scholarship is being provided for the welfare of the families engaged in farming. The chief minister in his speech pointed out that Kiran Sahu, a farmer’s son in Ganjam, received a scholarship to study at MKCG medical college in Berhampur. He claimed that Odisha is the first state in the country to provide interest-free loans to farmers and implement welfare schemes like Kalia. He said due to today’s interest subvention, farmers will not have to pay a single rupee of interest. Cooperation Minister Atanu Sabyasachi said that the state government is working with commitment for the uplift of the farmers in the state. On the occasion, three beneficiaries – Reena Sethi, Nikunj Bihari Kaap, and Savita Samantray – explained how they are able to sustain their families through farming and business due to interest concession on major loans. They said many farmers' families have become self-reliant due to the interest rebate scheme.",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
341F,"Odisha Chief Minister Naveen Patnaik on Wednesday inaugurated a state-of-the-art mega dairy processing plant in Cuttack district. Odisha Chief Minister Naveen Patnaik on Wednesday inaugurated a state-of-the-art mega dairy processing plant in Cuttack district. The Rs 273-crore Odisha State Cooperative Milk Producers Federation (Omfed) plant at Arlio near Cuttack city will increase farmers' incomes and benefit around 6 lakh agriculturists, Patnaik said in his address. ""This plant will process five lakh litres of milk every day. Apart from that, products like lassi, ghee, paneer, cheese and flavoured milk will be produced,"" he said. The chief minister took a tour of the plant on an electric passenger cart and tried a few spoons of Omfed's sweet curd. ""Excellent!"" Patnaik exclaimed after tasting the curd.",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
342F,"Officials on Friday said they have received consent letters of more than 70 per cent of farmers -- the minimum required by law for government to proceed for land acquisition for the second phase of Noida International Airport Officials on Friday said they have received consent letters of more than 70 per cent of farmers -- the minimum required by law for government to proceed for land acquisition for the second phase of Noida International Airport. Around 1,365 hectare of land is to be acquired for the second phase of the greenfield project from six villages -- Ranhera, Kureb, Dayanatpur, Karauli Bangar, Mundrah and Birampur -- the officials said. The first phase of the greenfield airport, billed to be India's largest upon completion and costing an estimated Rs 29,560 crore, is under development in the Jewar area of Gautam Buddh Nagar in western Uttar Pradesh, some 75 km off Delhi. MLA Jewar Dhirendra Singh said, ""The consent for land acquisition crossed the 70 per cent mark today and reached nearly 73 per cent."" Singh had been extensively touring the six villages for land owners' consent after several of them denied to give up their assets in lieu of compensation. In a meeting with farmers in Lucknow, Chief Minister Yogi Adityanath had on October 14 assured them an increased compensation of Rs 3,400 per sq metre (including the interest amount). Deputy Collector (Jewar) Abhay Pratap Singh said, ""With the consent level crossing the 70 per cent mark, the district administration can send proposal to the government for carrying out formalities under Section 11 of the Land Acquisition Act."" ""Once the government's approval comes, survey for land and compensation will begin,"" Singh said.  According to the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, the consent of at least 70 per cent land owners is required for acquisition. The law also mandates several other features, like rate of compensation, resettlement and rehabilitation facilities, for the government to proceed with land acquisition. According to officials, the airport is being developed in four phases by the Switzerland-based concessionaire Zurich International Airport AG's special purpose vehicle Yamuna International Airport Private Limited (YIAPL). In the first phase, which is scheduled to be completed by 2024 end, operations will begin with one runway and a capacity of handling 1.20 crore passengers annually by then. The first phase will be spread over 1,300 hectare, according to officials. The airport is billed to be India's largest airport upon full completion in the 2040s. It will be spread over an area of 5,000 hectare, the officials added.",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
113F,"Olympic medal winning boxer Vijender Singh joined the farmers’ protest at the Singhu border between Delhi and Haryana on Sunday, 6 December, threatening to return his Khel Ratna award if the farm laws are not repealed. As the farmers’ agitation on Delhi-NCR borders against the three contentious laws entered its 11th day on Sunday, Vijender Singh, who had contested on a Congress ticket from the South Delhi constituency in the 2019 Lok Sabha elections, was quoted as saying by news agency ANI, “If the government doesn’t withdraw the black laws, I’ll return my Rajiv Gandhi Khel Ratna Award – the highest sporting honour of the nation.” A call for ‘Bharat Bandh’ on 8 December has also been given by farm leaders, with Opposition parties, including Congress, AAP and TRS, extending their support. Thousands of farmers are protesting on the borders of Delhi-NCR against the recently enacted farm laws, which they say will prioritise corporate interests. The government seems willing to concede to amending parts of the laws, but the farmers have demanded that they be repealed.  ",Farmers Protest,left,"Appeal to Authority,Appeal to emotion/fear/prejudice,Name Calling and Labeling","T8: ['black laws']
T9: ['“If the government doesn’t withdraw the black laws, I’ll return my Rajiv Gandhi Khel Ratna Award']
T18: ['the highest sporting honour of the nation.”']","Vilification of the central government, Depicting Farmers as Victims"
112F,"On 27 September 2020, three contentious farm laws – that have driven a wedge between farmers and the Union government – got the President’s nod. Almost a year after they were passed, the government now says that these three laws would be withdrawn. The Farmers’ Produce Trade and Commerce (Promotion and Facilitation) Act, 2020 The Farmers' (Empowerment and Protection) Agreement of Price Assurance and Farm Services Act, 2020 The Essential Commodities (Amendment) Act, 2020 Allows farmers to sell produce outside Agriculture Produce Market Committees (APMCs) at a mutually agreed upon price, tax-free. Farmers can enter into contracts with corporate investors for a mutually agreed upon price. The amendment frees items such as food grains, pulses, edible oil and onions for trade except in crisis situations. Anger of farmers directed towards first two laws only. India is in the throes of the 1st wave of Covid-19, with 2,26,770 cases, and 6,348 dead. Yet, the Union government rushes  to introduceordinanceson  the  three fam laws. Bharatiya Kisan Union (Ugrahan) objects to the farm ordinances Mics broken, rule book torn. Opposition parties are against it, but the bill is passed controversially through voice vote The Minimum Support Price (MSP) system is a safety net for farmers in the form of a minimum price for particular crops that the government guarantees to farmers, regardless of any change in circumstances. If market prices for these crops fall below the specified MSP, then the government purchases the produce offered by the farmers at the MSP, thereby saving them from having to make distress sales. https://www.thequint.com/news/india/farmers-protesting-the-3-new-ordinances Ordinances are temporary laws issued by the President when Parliament is not in session, based on the advice of the Union Cabinet. The purpose of Ordinances is to allow governments to take immediate legislative action if circumstances make it necessary to do so at a time when Parliament is not in session. To continue as a law, the ordinance must be passed by the parliament within six weeks of the commencement of parliament. ",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
194F,"On Saturday, 6 February, state police officials made rampant preventive arrests of farmers’ leaders across Karnataka and Telangana for staging protests as part of the nationwide Chakka Jam. Protests were held in all major cities to the south of the Vindhyas – Bengaluru, Hyderabad, Chennai, Vijayawada and Kochi – to express solidarity with the protesting farmers in Delhi. While over 40 farmer leaders were detained in Bengaluru, close to a 100 were picked up from different parts of Karnataka, farmers unions claimed. Karnataka police had not recorded arrests when this report was filed. In Hyderabad, over 25 leaders were detained, farmers unions claimed. For the past three months, southern farmer leaders have been demanding a repeal of the Union’sfarm laws. In Karnataka, three major farmer unions under the banner of Samyukta Horata, blocked roads near Yelahanka and Airport road. Six major trade unions had also offered their support to the farmers. Karnataka farmers across banners stage protests on Saturday in support of#ChakkaJam#FamersProtest Police picked up protesters as early as at 11 am on Saturday. Preventive arrests were made throughout the day, farmers’ unions claimed. #Bengalurupolice pick up farmers' union leaders at the#ChakkaJamprotest spot in the city. Scores were detained on Saturday. In Hyderabad, Samyukta Kisan Morcha and National Alliance of People’s Movements organised protests. The farmers in the state have been demanding a raise in the Minimum Support Price. In a joint statement, farmer leaders of Telangana said, “Centre should immediately put an end to anti-democratic measures such as internet shutdown at protest sites, intimidation and attacks on protestors, digging up of roads to prevent any person from Delhi from reaching the protest, stopping water tankers, prevention of access to toilets and basic services.” Reportedly, protests were peaceful across Andhra Pradesh, Kerala, and Tamil Nadu.  ",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
129F,"On Tuesday 26 January, farmers protesting the Narendra Modi government’s farm laws reached Delhi's Red Fort andhoisted the Nishan Sahib, which is considered holy for Sikhs. English news channel Times Now claimed that the Indian tricolour was ""supplanted"" and the Nishan Sahib was hoisted in its place. The channel also accused the protesters of desecrating a national symbol. The same claim was amplified by Congress leaderShashi Tharoor, senior journalistRahul Shivshankar, a handle calledPakistan Firstand various other users. But, this claim is not true. The mast where the protesters hoisted the Nishan Sahib was empty. The Indian national flag continued to remain hoisted on top of the Red Fort and wasn’t disturbed by protesters. This older picture from Red Fort shows clearly that the place where the Nishan Sahib was hoisted is usually empty. The Nishan Sahib symbolises the presence of the Khalsa and hence is hoisted at every Gurdwara premises. Here is the Nishan Sahib at the Harmandir Sahib complex in Amritsar. The Nishan Sahib is a triangular flag and not the same as the Khalistan flag. There is no official flag of Khalistan but most of the flags carried by pro-Khalistan outfits are rectangular and different from the Nishan Sahib. Here are some versions of the Khalistan flag. Rather than the idea of Khalistan, the inspiration for the protesters’ act comes from Baghel Singh, the Sikh general who had hoisted the flag at Red Fort after emerging victorious in his conflict against Mughals. The Nishan Sahib also holds immense significance for the Indian Army’s Sikh regiment.  ",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
73F,"On Tuesday, 26 January, a water tanker ran over few women in Amritsar’s Vallah region that led to death of two of them while three others were left injured. The women were going to take part in a sit-in protest against the contentiousfarm laws. Soon after the incident took place, various political leaders shared the video blaming each other for the incident, even though the police maintains that the driver of the water tanker ‘does not have any political affiliation.’ Congress leader Alka Lamba shared its visuals mentioning that “BJP workers” were behind the act. (Disclaimer: The Quint has not added the links to the viral tweets due to the graphic nature of the video.) On the other hand, BJP Delhi’s Naveen Kumar shared the visuals asking if Bharatiya Kisan Union (BKU) leader Rakesh Tikait and political activist Yogendra Yadav will take responsibility for the incident. Priti Gandhi, national incharge of social media of BJP’s Mahila Morcha, too, shared the video with the text: “Sharing deeply distressing, heart wrenching visuals from #FarmersProtestHijacked. Two old Women were killed & three badly Injured when a tractor ran over them. Not just the protesters, even those who are supporting them have blood on their hands!! (sic)” The Quint’s WebQoof WhatsApp tipline received a query on a post that showed the same video with the text: “Farmers killed 2 women after running them over with their tractors, many injured.” WHAT DOES THE POLICE SAY? Speaking toThe Quint, SHO Vellah Sanjeev Kumar said that the driver of the water tanker has been identified as Shuklal Singh and an FIR has been filed against him under section 304 (Punishment for culpable homicide not amounting to murder) and section 427 (Mischief causing damage to the amount of fifty rupees) of the Indian Penal Code. WHAT DOES A LOCAL REPORTER HAVE TO SAY? The Quintalso got in touch with a local reporter who told us that there were a group of women who were returning from a gurdwara in Vellah and were going to join a protest against the farm laws. “They were on their way to join the protest and a water tanker coming from behind ran over five women. One died on the spot. The other four were taken to a hospital but one of them, too, succumbed to her injuries on the way to the hospital. Three women were treated,” he added. He further confirmed that the driver of the tanker has no political affiliation. Several organisations such asNDTV,Amar Ujalahad published reports on the said incident. The NDTV report mentioned that an eyewitness said, ""A group of 50-60 women were going to the protest site (in Vallah) in solidarity with the farmers' protests when a water tanker ran over them. The villagers captured the driver and called the police to the accident site.”  ",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
399F,"On Tuesday, PM Modi had said that zero-budget national farming should become a mass movement and people should be made aware of its benefits. Prime Minister Narendra Modi will on Thursday address farmers and scientists across the country on natural and zero-budget farming during the ongoing National Summit on Agro and Food Processing being held in Gujarat. The three-day summit, which commenced on December 14, has been organised to shed light on the method of natural farming and making farmers aware of its benefits. PM Modi will virtually address the farmers during the valedictory session of the national conclave at 11 am. Zero budget natural farming reduces the cost of agriculture by relying on traditional field-based technologies which lead to improved soil health. During the summit, farmers will be provided with all requisite information detailing the benefits of adopting natural farming methods. Doing its part, the BJP will set up screens in every Mandal and invite farmers to watch the Prime Minister's address, said party National General Secretary Arun Singh. As many as 9,500 mandals have been set up across the country, which will be installed with screens, he informed. ""The Prime Minister is working towards doubling farmers' income. We are looking at promoting natural farming so that the production costs of farmers are reduced and incomes are increased,"" Singh said. ""A big revolutionary change is about to come, which is going to benefit farmers. BJP workers at different places across the country will tune into the Prime Minister's address,"" he added. On Tuesday, while addressing an event in Varanasi, PM Modi had said that zero-budget national farming should become a mass movement and people should be made aware of its benefits. According to a statement from the PMO, ""Zero Budget Natural Farming is a promising tool to minimise the dependence of farmers on purchased inputs and reduces the cost of agriculture by relying on traditional field-based technologies which lead to improved soil health. Desi cow, its dung, and urine play an important role from which various inputs are made on the farm and provide necessary nutrients to the soil. Other traditional practises such as mulching the soil with biomass or keeping the soil covered with green cover around the year, even in the very low water availability situations, ensure sustained productivity even from the first year of adoption."" (With inputs from agency)",Farmers Protest,Neutral,No Technique,No Tags,No Narrative
